date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-06,35.3,35.55,35.1,34.9,188915.31,-0.09,-0.26,34.582,34.307,33.972,208835.7,196546.06,253199.56,0.16
2018-03-05,35.08,35.66,35.2,34.45,262414.78,0.18,0.51,34.438,34.091,33.938,216378.21,193862.8,252876.62,0.23
2018-03-02,33.9,35.07,35.04,33.66,295354.0,1.11,3.27,34.294,33.803,33.901,204194.42,184625.73,258119.22,0.26
2018-03-01,33.53,34.08,33.91,33.38,146377.23,0.27,0.8,34.102,33.5,33.898,180309.94,191571.1,259019.16,0.13
2018-02-28,34.04,34.15,33.66,33.53,151117.16,-0.73,-2.12,34.124,33.391,33.948,190176.64,213301.54,275916.02,0.13
2018-02-27,34.8,34.8,34.38,33.87,226627.88,-0.1,-0.29,34.032,33.425,33.961,184256.43,231714.54,282312.5,0.2
2018-02-26,34.16,34.94,34.48,34.16,201495.81,0.41,1.2,33.744,33.402,33.94,171347.38,264139.9,289069.8,0.18
2018-02-23,34.02,34.16,34.08,33.6,175931.64,0.06,0.18,33.312,33.369,33.905,165057.03,269957.06,297144.26,0.15
2018-02-22,33.5,34.13,34.02,33.28,195710.7,0.81,2.44,32.898,33.431,33.842,202832.25,273546.35,305725.44,0.17
2018-02-14,32.93,33.3,33.2,32.93,121516.1,0.28,0.85,32.658,33.517,33.767,236426.43,299863.45,315422.62,0.11
2018-02-13,32.43,33.09,32.94,32.43,162082.67,0.62,1.92,32.818,33.637,33.735,279172.65,309853.06,329727.73,0.14
2018-02-12,31.9,32.9,32.32,31.9,170044.06,0.31,0.97,33.06,33.784,33.705,356932.41,311890.45,350500.1,0.15
2018-02-09,32.13,32.27,32.01,30.67,364807.72,-0.82,-2.5,33.426,33.999,33.765,374857.08,331612.7,358631.02,0.32
2018-02-08,33.87,33.99,32.82,32.5,363681.62,-1.21,-3.56,33.964,34.295,33.86,344260.44,326467.22,350458.4,0.32
2018-02-07,34.32,34.55,34.0,33.57,335247.16,-0.15,-0.44,34.376,34.505,33.91,363300.47,338530.51,344449.43,0.29
2018-02-06,33.5,34.18,34.15,33.12,550881.5,0.0,0.0,34.456,34.496,33.904,340533.47,332910.47,353075.06,0.48
2018-02-05,34.45,34.51,34.15,33.88,259667.41,-0.55,-1.58,34.508,34.478,33.818,266848.49,313999.71,337262.19,0.23
2018-02-02,34.65,34.82,34.7,34.2,211824.52,-0.17,-0.49,34.572,34.44,33.731,288368.33,324331.47,342756.72,0.18
2018-02-01,34.58,34.9,34.88,34.04,458881.78,0.49,1.43,34.626,34.253,33.592,308674.01,337904.53,343313.03,0.4
2018-01-31,34.21,34.84,34.4,34.07,221412.16,-0.02,-0.06,34.634,34.017,33.428,313760.54,330981.79,332249.1,0.19
2018-01-30,34.33,34.8,34.41,33.96,182456.59,-0.05,-0.14,34.536,33.832,33.286,325287.46,349602.4,336868.24,0.16
2018-01-29,35.0,35.88,34.47,34.45,367266.59,-0.51,-1.46,34.448,33.625,33.154,361150.93,389109.74,339051.16,0.32
2018-01-26,34.95,35.27,34.97,34.59,313352.91,0.09,0.26,34.308,33.531,33.055,360294.6,385649.34,335175.53,0.27
2018-01-25,34.02,34.96,34.92,33.55,484314.47,0.96,2.83,33.88,33.424,32.867,367135.05,374449.57,327902.61,0.42
2018-01-24,34.25,34.36,33.91,33.63,279046.75,-0.06,-0.18,33.4,33.314,32.68,348203.04,350368.35,313934.69,0.24
2018-01-23,33.85,34.48,33.97,33.72,361773.91,0.22,0.65,33.128,33.311,32.573,373917.34,373239.65,308705.08,0.31
2018-01-22,32.95,33.85,33.77,32.88,362984.97,0.94,2.86,32.802,33.157,32.47,417068.56,360524.68,300894.46,0.32
2018-01-19,32.69,33.48,32.83,32.36,347555.16,0.3,0.92,32.754,33.021,32.362,411004.08,361181.98,290465.6,0.3
2018-01-18,32.76,33.08,32.52,32.42,389654.41,-0.01,-0.03,32.968,32.931,32.301,381764.09,348721.54,282469.0,0.35
2018-01-17,32.65,32.98,32.55,32.25,407618.25,0.23,0.71,33.228,32.839,32.251,352533.65,333516.4,270983.22,0.37
2018-01-16,33.41,33.45,32.34,32.23,577530.0,-1.16,-3.46,33.494,32.739,32.191,372561.95,324134.07,257464.04,0.52
