date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-15,3.88,3.88,3.77,3.76,116576.16,-0.11,-2.83,3.87,3.92,3.923,94451.83,93796.09,69140.62,0.9
2018-01-12,3.87,3.93,3.88,3.85,80716.74,0.01,0.26,3.906,3.932,3.935,96203.74,85604.62,66690.36,0.62
2018-01-11,3.86,3.89,3.87,3.84,77215.72,-0.01,-0.26,3.934,3.93,3.942,99886.32,82296.44,64194.82,0.6
2018-01-10,3.94,3.94,3.88,3.86,118799.45,-0.07,-1.77,3.964,3.929,3.948,110648.05,77756.89,61613.0,0.92
2018-01-09,3.95,3.99,3.95,3.93,78951.07,0.0,0.0,3.98,3.926,3.952,99417.76,69594.34,57390.07,0.61
2018-01-08,4.0,4.02,3.95,3.92,125335.74,-0.07,-1.74,3.97,3.915,3.956,93140.35,69562.48,55368.89,0.97
2018-01-05,4.0,4.05,4.02,3.98,99129.61,0.0,0.0,3.958,3.915,3.959,75005.49,60849.8,51185.15,0.77
2018-01-04,3.96,4.09,4.02,3.93,131024.39,0.06,1.51,3.926,3.909,3.957,64706.56,55346.03,47933.98,1.01
2018-01-03,3.92,3.96,3.96,3.9,62647.99,0.06,1.54,3.894,3.904,3.955,44865.73,46830.74,43347.35,0.48
2018-01-02,3.87,3.91,3.9,3.87,47564.01,0.01,0.26,3.872,3.911,3.956,39770.92,43952.65,43109.39,0.37
2017-12-29,3.86,3.9,3.89,3.86,34661.43,0.03,0.78,3.86,3.925,3.961,45984.62,44485.15,42665.78,0.27
2017-12-28,3.85,3.88,3.86,3.83,47635.0,0.0,0.0,3.872,3.938,3.968,46694.12,47776.1,42645.86,0.37
2017-12-27,3.85,3.88,3.86,3.84,31820.24,0.01,0.26,3.892,3.953,3.975,45985.5,46093.2,41984.61,0.25
2017-12-26,3.84,3.86,3.85,3.82,37173.91,0.01,0.26,3.914,3.966,3.983,48795.75,45469.1,42850.96,0.29
2017-12-25,3.96,3.96,3.84,3.84,78632.5,-0.11,-2.79,3.95,3.978,3.991,48134.38,45185.81,42901.11,0.61
2017-12-22,3.96,3.99,3.95,3.94,38208.94,-0.01,-0.25,3.99,3.997,3.998,42985.68,41175.3,41595.2,0.3
2017-12-21,3.97,3.98,3.96,3.93,44091.92,-0.01,-0.25,4.004,4.003,4.001,48858.09,41520.49,41793.31,0.34
2017-12-20,4.03,4.05,3.97,3.97,45871.5,-0.06,-1.49,4.014,4.005,4.005,46200.9,40521.93,42129.47,0.35
2017-12-19,4.03,4.04,4.03,4.02,33867.02,-0.01,-0.25,4.018,4.005,4.012,42142.45,39863.95,41771.49,0.26
2017-12-18,4.02,4.09,4.04,4.01,52889.0,0.02,0.5,4.006,4.0,4.017,42237.24,42266.13,42403.28,0.41
2017-12-15,4.01,4.04,4.02,3.99,67571.0,0.01,0.25,4.004,3.996,4.021,39364.92,40846.42,43375.22,0.52
2017-12-14,3.99,4.01,4.01,3.98,30805.97,0.02,0.5,4.002,3.998,4.027,34182.89,37515.61,47024.77,0.24
2017-12-13,3.98,3.99,3.99,3.95,25579.25,0.02,0.5,3.996,3.996,4.047,34842.95,37876.02,48036.0,0.2
2017-12-12,4.03,4.03,3.97,3.97,34341.0,-0.06,-1.49,3.992,4.0,4.067,37585.46,40232.81,50443.0,0.27
2017-12-11,4.01,4.03,4.03,4.0,38527.36,0.02,0.5,3.994,4.004,4.092,42295.01,40616.41,51854.82,0.3
2017-12-08,3.98,4.02,4.01,3.97,41660.86,0.03,0.75,3.988,3.998,4.115,42327.92,42015.1,52193.65,0.32
2017-12-07,3.96,3.98,3.98,3.95,34106.3,0.01,0.25,3.994,3.999,4.141,40848.34,42066.14,52260.85,0.26
